Fichier;Type;Cat;Average
MOJO - 100 Soul Albums Everyone Should Own - 2000;ALBUM;GENRE;5,23
Pitchfork - Album - 2000;ALBUM;YEAR;5,25
Mojo - Album - 2003;ALBUM;YEAR;5,275
Q - Album - 2013;ALBUM;YEAR;5,28
Q - 1001 Best Songs Ever - 2003;SONG;ALL_TIME;5,28
Spin - Album - 2011;ALBUM;YEAR;5,28
Mojo - Best Live albums Of All Time - 1998;ALBUM;ALL_TIME;5,286
Pitchfork - Albums 60's - 2017;ALBUM;DECADE;5,288
PopMatters - Album - 2007;ALBUM;YEAR;5,3
Mojo - Album - 2012;ALBUM;YEAR;5,3
Mojo Special Edition - The UK Indie Top 100 Records - Album;ALBUM;ALL_TIME;5,306
Paste - Album - 2014;ALBUM;YEAR;5,306
Rock and Roll Hall of Fame - 160 Additional Songs - 2018;SONG;ALL_TIME;5,308
Q - Ultimate Music Collection - Song - 2016;SONG;ALL_TIME;5,311
MusicForAnts - Album - 2014;ALBUM;YEAR;5,32
Mojo - Album - 2005;ALBUM;YEAR;5,32
Rolling Stone - Song - 1998;SONG;YEAR;5,333
